osd,source_name,sample_name,organism,material_type,measurement_types,technology_types,device_platforms,data_files
OSD-101,RR1_FLT_M23,Mmus_C57-6J_GST_FLT_Rep1_M23,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M23-GST.tar.gz | GLDS-101_wtbs_N1_CGATGT_L008_R1_001.fastq.gz | GLDS-101_wgbs_M23-GST-wgbs.tar.gz
OSD-101,RR1_FLT_M24,Mmus_C57-6J_GST_FLT_Rep2_M24,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M24-GST.tar.gz | GLDS-101_wtbs_N2_TGACCA_L008_R1_001.fastq.gz | GLDS-101_wgbs_M24-GST-wgbs.tar.gz
OSD-101,RR1_FLT_M25,Mmus_C57-6J_GST_FLT_Rep3_M25,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M25-GST.tar.gz | GLDS-101_wtbs_N3_ACAGTG_L008_R1_001.fastq.gz | GLDS-101_wgbs_M25-GST-wgbs.tar.gz
OSD-101,RR1_FLT_M26,Mmus_C57-6J_GST_FLT_Rep4_M26,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M26-GST.tar.gz | GLDS-101_wtbs_N4_GCCAAT_L008_R1_001.fastq.gz | GLDS-101_wgbs_M26-GST-wgbs.tar.gz
OSD-101,RR1_FLT_M27,Mmus_C57-6J_GST_FLT_Rep5_M27,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M27-GST.tar.gz | GLDS-101_wtbs_N5_ACTTGA_L008_R1_001.fastq.gz | GLDS-101_wgbs_M27-GST-wgbs.tar.gz
OSD-101,RR1_FLT_M28,Mmus_C57-6J_GST_FLT_Rep6_M28,Mus musculus,Left gastrocnemius,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific),GLDS-101_rna-seq_M28-GST.tar.gz | GLDS-101_wtbs_N6_GATCAG_L008_R1_001.fastq.gz | GLDS-101_wgbs_M28-GST-wgbs.tar.gz
OSD-101,Pool of all FLT samples,Pool of all FLT samples,Mus musculus,Left gastrocnemius,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-101,Pool of all GC samples,Pool of all GC samples,Mus musculus,Left gastrocnemius,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-101,Pool of all FLT and GC samples,Pool of all FLT and GC samples,Mus musculus,Left gastrocnemius,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-101,Empty Pool,Empty Pool,Mus musculus,Not Applicable,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-102,RR1_FLT_M23,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mus musculus,Left kidney,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Illumina HiSeq 4000 | LTQ Orbitrap Fusion (Thermo Scientific),GLDS-102_rna-seq_M23-KDN.tar.gz | GLDS-102_wgbs_M23-KDN-wgbs.tar.gz | GLDS-102_wtbs_N49_CGATGT_L006_R1_001.fastq.gz
OSD-102,RR1_FLT_M24,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mus musculus,Left kidney,Dna Methylation Profiling | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Illumina HiSeq 4000 | LTQ Orbitrap Fusion (Thermo Scientific),GLDS-102_rna-seq_M24-KDN.tar.gz | GLDS-102_wgbs_M24-KDN-wgbs.tar.gz | GLDS-102_wtbs_N50_TGACCA_L006_R1_001.fastq.gz
